,PLAYER,ROOKIE,ROTY,FTM,AST,STL,OREB,GP,BLK,PF,ThreePA,FTPercent,ThreePPercent,GUARD,FORWARD,WEIGHT,HEIGHT,CENTER,YEAR,OVERALL PICK,FTRate,TSPercent
0,Kwame Brown,0,0,1.2,0.8,0.3,1.1,57.0,0.5,1.8,0.0,70.7,0.0,0,0,132.0,2.11,1,2001,1,0.3953488372093023,0.44052863436123346
1,Tyson Chandler,0,0,1.9,0.8,0.4,1.6,71.0,1.3,2.5,0.0,60.4,0.0,0,0,107.0,2.13,1,2001,2,0.7209302325581396,0.5283672585534863
2,Pau Gasol,0,1,4.1,2.7,0.5,2.9,82.0,2.1,2.4,0.1,70.9,20.0,0,1,113.0,2.13,1,2001,3,0.4461538461538461,0.5585528403681371
3,Jason Richardson,0,0,1.8,3.0,1.3,1.6,80.0,0.4,2.4,3.1,67.1,33.3,1,0,102.0,1.98,0,2001,5,0.1911764705882353,0.4853387259858443
4,Shane Battier,0,0,2.5,2.8,1.6,2.3,78.0,1.0,2.8,3.5,70.0,37.3,0,1,100.0,2.03,0,2001,6,0.2926829268292683,0.5139186295503212
5,DeSagana Diop,0,0,0.1,0.3,0.1,0.3,18.0,0.6,1.1,0.0,20.0,0.0,0,0,127.0,2.13,1,2001,8,0.18749999999999997,0.40172166427546624
6,Rodney White,0,0,0.8,0.8,0.6,0.1,16.0,0.1,0.4,0.6,85.7,22.2,0,1,104.0,2.06,0,2001,9,0.2368421052631579,0.41395623891188643
7,Vladimir Radmanovic,0,0,0.8,1.3,0.9,0.7,61.0,0.4,2.0,2.6,68.1,42.0,0,1,107.0,2.08,0,2001,12,0.20689655172413793,0.5259026687598116
8,Richard Jefferson,0,0,2.4,1.8,0.8,1.1,79.0,0.6,2.7,0.7,71.3,23.2,0,1,106.0,2.01,0,2001,13,0.4533333333333333,0.5156335710367526
9,Steven Hunter,0,0,1.0,0.1,0.1,0.8,53.0,0.8,1.5,0.0,58.5,0.0,0,0,109.0,2.13,1,2001,15,0.6428571428571429,0.4924760601915185
10,Kirk Haston,0,0,0.3,0.3,0.0,0.3,15.0,0.1,0.6,0.2,50.0,0.0,0,1,110.0,2.06,0,2001,16,0.1923076923076923,0.29955947136563876
11,Michael Bradley,0,0,0.2,0.1,0.0,0.3,26.0,0.2,0.4,0.1,50.0,0.0,0,1,111.0,2.08,0,2001,17,0.3,0.5251641137855579
12,Jason Collins,0,0,1.5,1.1,0.4,1.7,77.0,0.6,2.2,0.0,70.1,50.0,0,0,116.0,2.13,1,2001,18,0.5833333333333334,0.4893964110929853
13,Zach Randolph,0,0,0.4,0.3,0.2,0.7,41.0,0.1,0.7,0.0,66.7,0.0,0,1,113.0,2.06,0,2001,19,0.2692307692307692,0.47740835464620623
