,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
0,0,Kwame Brown,Glynn Academy,1,2001-02,WAS,57,14.3,4.5,1.6,4.3,38.7,0.0,0.0,0.0,1.2,1.7,70.7,1.1,2.4,3.5,0.8,0.8,0.3,0.5,1.8,11.3,2.0,0.0,-1.5,2.11,132.0,Center,0,1,0,0
2,2,Pau Gasol,FC Barcelona Basquet (Spain),3,2001-02,MEM,82,36.6,17.6,6.7,13.0,51.8,0.0,0.1,20.0,4.1,5.8,70.9,2.9,6.0,8.9,2.7,2.7,0.5,2.1,2.4,37.3,35.0,0.0,-3.8,2.13,113.0,Center-Forward,1,1,1,0
4,4,Jason Richardson,Michigan State,5,2001-02,GSW,80,32.8,14.4,5.8,13.6,42.6,1.0,3.1,33.3,1.8,2.6,67.1,1.6,2.7,4.3,3.0,2.0,1.3,0.4,2.4,27.1,1.0,0.0,-3.4,1.98,102.0,Guard,0,0,0,1
5,5,Shane Battier,Duke,6,2001-02,MEM,78,39.7,14.4,5.3,12.3,42.9,1.3,3.5,37.3,2.5,3.6,70.0,2.3,3.1,5.4,2.8,2.0,1.6,1.0,2.8,30.8,3.0,0.0,-3.7,2.03,100.0,Forward,0,0,1,0
7,7,DeSagana Diop,Oak Hill Academy,8,2001-02,CLE,18,6.1,1.4,0.7,1.6,41.4,0.0,0.0,0.0,0.1,0.3,20.0,0.3,0.7,0.9,0.3,0.7,0.1,0.6,1.1,4.1,0.0,0.0,-0.3,2.13,127.0,Center,0,1,0,0
8,8,Rodney White,North Carolina-Charlotte,9,2001-02,DET,16,8.0,3.5,1.3,3.8,35.0,0.1,0.6,22.2,0.8,0.9,85.7,0.1,1.0,1.1,0.8,0.9,0.6,0.1,0.4,7.2,0.0,0.0,1.2,2.06,104.0,Forward,0,0,1,0
11,11,Vladimir Radmanovic,KK FMP (Serbia),12,2001-02,SEA,61,20.2,6.7,2.4,5.8,41.2,1.1,2.6,42.0,0.8,1.2,68.1,0.7,3.0,3.8,1.3,1.2,0.9,0.4,2.0,15.9,0.0,0.0,1.1,2.08,107.0,Forward,0,0,1,0
12,12,Richard Jefferson,Arizona,13,2001-02,NJN,79,24.3,9.4,3.4,7.5,45.7,0.2,0.7,23.2,2.4,3.4,71.3,1.1,2.6,3.7,1.8,1.4,0.8,0.6,2.7,19.4,0.0,0.0,1.3,2.01,106.0,Forward,0,0,1,0
14,14,Steven Hunter,DePaul,15,2001-02,ORL,53,9.7,3.6,1.3,2.8,45.6,0.0,0.0,0.0,1.0,1.8,58.5,0.8,1.1,1.8,0.1,0.3,0.1,0.8,1.5,8.3,0.0,0.0,-1.9,2.13,109.0,Center,0,1,0,0
15,15,Kirk Haston,Indiana,16,2001-02,CHH,15,5.2,1.7,0.7,2.6,28.2,0.0,0.2,0.0,0.3,0.5,50.0,0.3,1.0,1.3,0.3,0.2,0.0,0.1,0.6,3.8,0.0,0.0,-0.9,2.06,110.0,Forward,0,0,1,0
