,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
0,Karl-Anthony Towns,Kentucky,1,2015-16,MIN,82,32.0,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2.0,2.2,0.7,1.7,3.0,38.8,52,0,-1.6,2.11,112,Center-Forward,1
1,D'Angelo Russell,Ohio State,2,2015-16,LAL,80,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8,1.93,88,Guard,0
2,Jahlil Okafor,Duke,3,2015-16,PHI,53,30.0,17.5,7.5,14.7,50.8,0.0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7.0,1.2,2.3,0.4,1.2,2.6,30.2,11,0,-9.3,2.08,122,Center-Forward,0
3,Kristaps Porzingis,CB Sevilla (Spain),4,2015-16,NYK,72,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2,2.21,109,Forward-Center,0
4,Mario Hezonja,FC Barcelona Basquet (Spain),5,2015-16,ORL,79,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,1.2,0.5,0.2,1.6,11.7,0,0,0.0,2.03,100,Forward-Guard,0
5,Willie Cauley-Stein,Kentucky,6,2015-16,SAC,66,21.4,7.0,2.9,5.1,56.3,0.0,0.0,0.0,1.2,1.9,64.8,2.0,3.3,5.3,0.6,0.7,0.7,1.0,2.2,18.7,3,0,-1.2,2.13,109,NaN,0
6,Emmanuel Mudiay,Guangdong Southern Tigers (China),7,2015-16,DEN,68,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67.0,0.5,2.9,3.4,5.5,3.2,1.0,0.5,2.1,26.3,4,0,-1.7,1.91,91,NaN,0
7,Stanley Johnson,Arizona,8,2015-16,DET,73,23.1,8.1,3.1,8.2,37.5,0.9,2.8,30.7,1.1,1.4,78.4,0.8,3.4,4.2,1.6,1.6,0.8,0.2,2.4,16.8,3,0,-1.9,1.98,110,Forward-Guard,0
8,Frank Kaminsky,Wisconsin,9,2015-16,CHA,81,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.7,0.5,0.5,1.6,16.5,1,0,-0.2,2.13,109,Forward-Center,0
9,Justise Winslow,Duke,10,2015-16,MIA,78,28.6,6.4,2.5,5.9,42.2,0.4,1.5,27.6,1.0,1.5,68.4,1.0,4.1,5.2,1.5,1.2,0.9,0.3,2.4,17.3,0,0,1.4,1.98,101,Forward-Guard,0
10,Myles Turner,Texas,11,2015-16,IND,60,22.8,10.3,4.4,8.8,49.8,0.1,0.2,21.4,1.5,2.0,72.7,1.1,4.4,5.5,0.7,1.1,0.4,1.4,2.6,22.4,4,0,-1.2,2.11,113,Center-Forward,0
11,Trey Lyles,Kentucky,12,2015-16,UTA,80,17.3,6.1,2.4,5.5,43.8,0.6,1.6,38.3,0.7,1.0,69.5,0.7,3.0,3.7,0.7,0.8,0.3,0.2,1.4,12.5,2,0,-0.6,2.06,106,Forward,0
12,Devin Booker,Kentucky,13,2015-16,PHX,76,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,2.1,0.6,0.3,3.0,21.1,3,0,-4.9,1.96,93,Guard,0
13,Cameron Payne,Murray State,14,2015-16,OKC,57,12.2,5.0,2.0,4.9,41.0,0.6,1.9,32.4,0.3,0.4,79.2,0.2,1.3,1.5,1.9,0.8,0.6,0.1,1.4,11.0,0,0,-0.5,1.85,83,Guard,0
14,Kelly Oubre Jr.,Kansas,15,2015-16,WAS,63,10.7,3.7,1.4,3.3,42.7,0.4,1.3,31.6,0.5,0.8,63.3,0.4,1.7,2.1,0.2,0.5,0.3,0.1,1.6,7.4,0,0,-0.7,1.98,92,Forward-Guard,0
15,Terry Rozier,Louisville,16,2015-16,BOS,39,8.0,1.8,0.7,2.7,27.4,0.2,0.7,22.2,0.2,0.3,80.0,0.6,1.0,1.6,0.9,0.5,0.2,0.0,0.6,5.3,0,0,-1.2,1.85,86,Guard,0
16,Rashad Vaughn,Nevada-Las Vegas,17,2015-16,MIL,70,14.3,3.1,1.2,3.8,30.5,0.6,2.1,29.3,0.2,0.2,80.0,0.2,1.1,1.3,0.6,0.4,0.4,0.2,1.0,7.0,0,0,-2.1,1.98,92,NaN,0
17,Sam Dekker,Wisconsin,18,2015-16,HOU,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,1.4,0,0,-0.7,2.03,99,NaN,0
